,relevance_task,relevance_task,relevance_task,factual_accuracy,factual_accuracy,factual_accuracy,coherence_structure,coherence_structure,coherence_structure,depth_insight,depth_insight,depth_insight,linguistic_quality,linguistic_quality,linguistic_quality,instruction_sensitivity,instruction_sensitivity,instruction_sensitivity,creativity_originality,creativity_originality,creativity_originality,total_score,total_score,total_score
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
topic,,,,,,,,,,,,,,,,,,,,,,,,
American Civil War,4.25,0.5,3,4.0,0.5,3,4.17,0.8,3,3.25,0.5,3,3.92,0.38,3,4.08,0.76,3,3.0,0.5,3,26.67,3.91,3
British Empire,4.33,0.52,3,3.75,1.09,3,4.17,0.8,3,3.67,0.88,3,4.08,0.52,3,4.25,0.87,3,3.5,0.75,3,27.75,5.34,3
Cold War,3.25,1.32,3,3.42,1.13,3,3.08,1.46,3,2.58,1.44,3,3.75,0.66,3,2.58,1.88,3,2.5,1.3,3,21.17,8.95,3
Colonialism in Africa,3.42,1.89,3,3.08,1.84,3,3.17,2.13,3,2.75,2.05,3,3.42,1.23,3,2.83,2.27,3,2.58,1.84,3,21.25,13.23,3
Democracy,3.92,0.76,3,3.83,0.63,3,3.92,0.72,3,3.25,0.87,3,4.0,0.5,3,3.92,0.58,3,3.0,0.87,3,25.83,4.54,3
Enlightenment,4.75,0.0,3,4.62,0.2,3,4.77,0.03,3,4.25,0.0,3,4.57,0.12,3,4.8,0.09,3,3.97,0.06,3,31.72,0.38,3
French Revolution,4.5,0.43,3,4.25,0.43,3,4.33,0.72,3,4.0,0.66,3,4.33,0.29,3,4.25,0.87,3,3.58,0.76,3,29.25,4.13,3
Holocaust,3.58,0.58,3,4.08,0.38,3,3.33,0.76,3,2.58,0.63,3,4.17,0.14,3,4.5,0.0,3,2.67,0.38,3,24.92,2.47,3
Human Rights,4.08,0.58,3,4.0,0.66,3,3.92,0.72,3,3.25,0.87,3,4.08,0.38,3,4.08,0.72,3,3.0,0.87,3,26.42,4.37,3
Industrial Revolution,4.58,0.29,3,4.25,0.43,3,4.67,0.14,3,4.0,0.66,3,4.42,0.38,3,4.67,0.14,3,3.83,0.52,3,30.42,2.55,3
Labor Rights and Unions,4.67,0.14,3,4.42,0.14,3,4.67,0.14,3,4.08,0.29,3,4.42,0.14,3,4.5,0.43,3,3.75,0.25,3,30.5,1.52,3
Partition of India and Pakistan,4.17,0.8,3,4.17,0.38,3,4.25,0.66,3,3.58,0.76,3,4.25,0.25,3,4.58,0.14,3,3.5,0.5,3,28.5,3.36,3
Propaganda in Totalitarian Regimes,2.92,1.76,3,2.17,2.08,3,2.58,1.94,3,2.33,1.94,3,3.42,1.01,3,2.75,2.14,3,2.25,1.75,3,18.42,12.47,3
Renaissance,4.42,0.58,3,4.28,0.7,3,4.52,0.45,3,3.83,0.95,3,4.48,0.23,3,4.38,0.77,3,3.75,0.66,3,29.67,4.3,3
Roman Empire,4.08,1.15,3,4.17,0.58,3,4.25,0.87,3,3.67,1.01,3,4.25,0.43,3,3.92,1.44,3,3.33,1.15,3,27.67,6.64,3
Segregation and Civil Rights (US),3.83,0.8,3,3.67,0.88,3,3.5,1.15,3,2.92,1.18,3,3.75,0.75,3,3.75,0.43,3,2.58,1.04,3,24.0,6.14,3
Silk Road,4.25,0.87,3,3.92,1.01,3,4.33,0.72,3,3.67,1.23,3,4.17,0.38,3,4.0,1.3,3,3.5,1.09,3,27.83,6.57,3
Space Exploration,4.25,0.5,3,4.5,0.0,3,4.25,0.43,3,3.42,0.76,3,4.33,0.14,3,4.33,0.52,3,3.33,0.76,3,28.42,2.74,3
United Nations,4.5,0.43,3,4.53,0.3,3,4.43,0.59,3,3.83,0.95,3,4.4,0.36,3,4.38,0.77,3,3.58,0.95,3,29.67,4.3,3
World War II,3.25,1.56,3,2.92,2.55,3,3.08,1.66,3,2.17,1.46,3,3.67,0.14,3,2.83,1.04,3,2.08,0.76,3,20.0,8.84,3
